product_id,name,category,price,cost,stock_quantity,description,brand,created_date
1,Wireless Bluetooth Headphones,Audio,186.59,83.19,390,High-quality wireless bluetooth headphones perfect for your needs.,ProTech,2024-05-10
2,Smartphone Case - Clear,Office,277.5,187.46,306,High-quality smartphone case - clear perfect for your needs.,SmartGear,2024-07-01
3,USB-C Charging Cable,Electronics,42.43,21.59,425,High-quality usb-c charging cable perfect for your needs.,SmartGear,2025-03-13
4,Laptop Stand - Adjustable,Electronics,79.84,45.53,40,High-quality laptop stand - adjustable perfect for your needs.,TechBrand,2024-07-04
5,Wireless Mouse - Ergonomic,Office,30.06,18.88,392,High-quality wireless mouse - ergonomic perfect for your needs.,ProTech,2025-07-05
6,Mechanical Keyboard - RGB,Storage,147.82,83.51,135,High-quality mechanical keyboard - rgb perfect for your needs.,PrimeTech,2024-03-02
7,Monitor Stand - Dual,Mobile,289.66,196.58,386,High-quality monitor stand - dual perfect for your needs.,ProTech,2024-12-29
8,Desk Organizer - Bamboo,Mobile,298.58,177.64,224,High-quality desk organizer - bamboo perfect for your needs.,PrimeTech,2024-08-08
9,Webcam HD 1080p,Electronics,81.88,34.32,10,High-quality webcam hd 1080p perfect for your needs.,PrimeTech,2024-04-25
10,USB Hub - 4 Port,Accessories,180.64,72.65,362,High-quality usb hub - 4 port perfect for your needs.,TechBrand,2025-03-24
11,Laptop Sleeve - Neoprene,Electronics,272.56,179.31,36,High-quality laptop sleeve - neoprene perfect for your needs.,PrimeTech,2025-03-15
12,Screen Protector - Anti-Glare,Computer,203.99,94.71,67,High-quality screen protector - anti-glare perfect for your needs.,PrimeTech,2024-04-02
13,Cable Management Kit,Mobile,80.46,43.6,208,High-quality cable management kit perfect for your needs.,ProTech,2025-08-09
14,Desk Lamp - LED,Electronics,201.09,101.81,210,High-quality desk lamp - led perfect for your needs.,EliteTech,2025-09-19
15,Laptop Cooling Pad,Storage,199.49,118.47,31,High-quality laptop cooling pad perfect for your needs.,EliteTech,2024-12-01
16,External Hard Drive 1TB,Office,259.88,123.34,97,High-quality external hard drive 1tb perfect for your needs.,PrimeTech,2024-08-11
17,USB Flash Drive 64GB,Accessories,132.34,63.99,127,High-quality usb flash drive 64gb perfect for your needs.,TechBrand,2024-08-17
